,Job Type,Job Experience,Position,Vacancy Count,Company,Location,Industries,Job Title,Job Requirement,Job Salary,Skills,Date Created,Job Posting Link,Job Id,Language,Career Level,Salary Min,Salary Max
1102,Internship,Less than 1 year,Customer Service,1.0,Mekari (PT. Mid Solusi Nusantara),"Jakarta, Indonesia",Technology,Internship Program: Customer Support Intern,No Description, 2000000 – 3000000,"Customer Service, Customer Relationship Management, Customer Experience",2022-04-11,https://www.techinasia.com/jobs/b78e2237-5b7e-4a46-a6fe-dce074c74502,2196717593,en,Entry Level,2000000.0,3000000.0
1103,Full-time,Less than 1 year,Sales & Business Development,1.0,Clodeo,"Jakarta, Indonesia",Technology,visitor (collector),No Description, 4470000 – 5000000,"Sales  Marketing, Sales Strategy  Management, Business Development",2022-04-11,https://www.techinasia.com/jobs/2d217a20-7d07-4153-a75e-635a7e465e27,607662705,en,Entry Level,4470000.0,5000000.0
1104,Internship,Less than 1 year,Customer Service,1.0,Mekari (PT. Mid Solusi Nusantara),"Jakarta, Indonesia",Technology,Internship Program: Research Intern,"Assist other researchers to design, scope, execute, and analyze the research projects
Help communicate the users' insights clearly and ensure it's well-considered in the decision making
Assist other researchers to translate the research findings into a strategic recommendation for stakeholders
Help build the internal research capabilities by sharing the research knowledge", 2000000 – 3000000,"Research  Development (RD), Research, Product Research, Market Research, User Research, Market Research  Analysis",2022-04-09,https://www.techinasia.com/jobs/61b76417-098a-4e33-8188-71fa8a454532,2196717593,en,Entry Level,2000000.0,3000000.0
1105,Full-time,Less than 1 year,Enterprise Software & Systems,1.0,JAC Recruitment Indonesia,"Tangerang, Indonesia",Human Resources,Tech Lead,No Description, 40000000 – 50000000,"Software Engineering, Front-end Development, Mobile, React.js, Angular, Backend Development, Java, Express.js, DevOps, Jenkins, Data Science, R, Test Automation",2022-04-08,https://www.techinasia.com/jobs/2e38124c-7ea7-4b4f-b8e0-b575933443a3,5881171280,en,Entry Level,40000000.0,50000000.0
1106,Freelance,Less than 1 year,Community Management,1.0,Mediatics Digital Indonesia,"Jakarta, Indonesia",Technology,Freelance Community Officer,No Description, 1000000 – 3000000,"Attention to Detail, Community Management, System Administration, Communication Skills",2022-04-08,https://www.techinasia.com/jobs/db682e92-49ca-493f-966d-820b8621b4ab,3922889387,en,Entry Level,1000000.0,3000000.0
1107,Full-time,Less than 1 year,Project & Product Management,1.0,Mediatics Digital Indonesia,"Jakarta, Indonesia",Technology,Sr. Digital Media Planner,"Develop and execute innovative strategies that applicable within the digital area to meet and exceed projects in high quality.
Do research and analysis for client’s market and competitive insights to support overall digital strategy.
Identify client’s budget plan and KPI.
Collaborate with internal and external team to accomplish client’s targets to convey all around coordinated digital strategy.", 5000000 – 6000000,"Digital Marketing, Project Management, Marketing Strategy, Strategic Planning, Content Marketing, Marketing Communications, Planning",2022-04-08,https://www.techinasia.com/jobs/6f8616fb-4be3-49f8-b432-f38bd01f4f3e,3922889387,en,Entry Level,5000000.0,6000000.0
1108,Full-time,Less than 1 year,Enterprise Software & Systems,2.0,PT. Informasi Teknologi Indonesia,"Jakarta, Indonesia",Customer Services,IT Support - Shifting,"Monitoring and Supporting production servers and devices, 24 Hours, 7 Days (Shifting)
Perform system, hardware, and network maintenance regularly
Keep system, hardware, and network performance, stable and secure
Have a basic knowledge of Installation, monitoring, and troubleshooting servers (Windows Server /  Linux Server)
Have a basic knowledge to operate an Operating System (e.g. Linux and Windows Server)
Have a basic knowledge to managed network devices (e.g. Mikrotik, Cisco, HP)
Have a basic knowledge to operate Database Server (MySQL, SQL Server, OracleDB)
Work in a team and collaborate with many people", 4600000 – 5000000,"Networking, MySQL, Databases, Linux System Administration, Linux, Technical Support, Information Technology, Microsoft SQL Server, SQL Server, Communication Skills, Cisco, Ubuntu, Redhat, Operating Systems",2022-04-08,https://www.techinasia.com/jobs/82ed73cb-4fcc-499f-a6b7-6fc02bb565a5,1144610091,en,Entry Level,4600000.0,5000000.0
1109,Full-time,Less than 1 year,Web Development,2.0,Bina Nusantara Group,"Indonesia Bulk Terminal, Indonesia",Education,Senior Programmer,"Ensure effectiveness of the application development process (aligning with user’s requirement & timely completion)
Analyze and interview user’s need and requirement to related application
Arrange the design of application development
Provide technical advice in related project to enhance application performance
Monitor and enhance user’s satisfaction towards various IS Application Development", 0 – 0,"ASP.NET, .NET, C#, PHP",2022-04-08,https://www.techinasia.com/jobs/143e6e3b-a5ab-4d6e-84a1-fcb7142187d8,2956574054,en,Entry Level,0.0,0.0
1110,Full-time,Less than 1 year,Sales & Business Development,1.0,Boleh Belajar,"Bandung, Java, Indonesia",Education,Business Development (B2B),"Undergraduated Bachelor's Degree or Fresh Graduate are welcome
Having experience in EduTech Business is an advantage
Detail oriented, self-starter, and able to work under minimum supervision
Tech-savvy with demonstrated portfolios on the enhanced materials development.
Experience in B2B & B2C Business Development and/or Sales for at least 1 year is a plus.
Good marketing, communication, persuasion and interpersonal skills in fostering a long-term relationship with the client
Have good knowledge of people development product and project budgeting
Able to present ideas of our B2B product to the prospected customer
Confident and engaging presentation skills
Perform engaging pitch to the leads to be able to close them
Willing to work in Bandung
Have experience in the Academic Program field is a plus
Willing to learn new things & aggresive", 5000000 – 7500000,"Sales  Marketing, Business Development  Partnerships, Digital Marketing, Business Development, Marketing Communications, Marketing Strategy, Sales Strategy  Management, Business Analysis, Client Relations, Relationship Building",2022-04-08,https://www.techinasia.com/jobs/17603832-23ff-48f9-916c-f6d5e222898c,4013813319,en,Entry Level,5000000.0,7500000.0
1111,Full-time,Less than 1 year,Customer Service,1.0,Boleh Belajar,"Bandung, Java, Indonesia",Education,Customer Service,"Gather insight and information based on past conversations through digital channel to achieve satisfaction. 
Generate sales leads.
Handle customer enquiries through whatsapp and email. 
Build relationships with prospective students.
Give class suggestion for prospective students", 3800000 – 4200000,"Customer Service, Communication Skills, Marketing Communications",2022-04-08,https://www.techinasia.com/jobs/0e7ab516-4697-4e7e-8495-40bb9837ecd0,4013813319,en,Entry Level,3800000.0,4200000.0
1112,Full-time,Less than 1 year,Media & Journalism,1.0,Boleh Belajar,"Bandung, Java, Indonesia",Education,Content Strategist,"Creating full funnel strategy for social media activation. 
Creating social media advertising content. 
Produce clear copy for social media activation. 
Creating strategy based on the audience of each social media platform. 
Creating full funnel landing page strategy. 
Collaborate with design graphic to create a clear materials.", 4500000 – 5000000,"Media, Digital Media, Social Media Strategy, Social Media, Advertising, Digital Marketing, Social Media Marketing, Marketing Strategy",2022-04-08,https://www.techinasia.com/jobs/4951ee36-d424-436c-b7ea-8c0c121d5880,4013813319,en,Entry Level,4500000.0,5000000.0
1113,Full-time,Less than 1 year,Science & Academics,1.0,Boleh Belajar,"Bandung, Java, Indonesia",Education,Learning Designer,"Create engaging course, module, and class material. 
Ensure design and visualization of instructional modules that meets our requirement.
Do the research and compiling data that support materials.  
Updating course based on the changing of technology. 
Creating use case based on multiple variable (course level, multiple industry, unique cases).
Provide exercise, assignment, quiz, that enhance user learning process. 
Support product team in terms of syllabus and modules.
Create bank of courses, cases, best practices & other material assets.", 5500000 – 6500000,"Research, Digital Marketing, Research  Development (RD), Technology, Program Management, Data Visualization",2022-04-08,https://www.techinasia.com/jobs/c6d60cb1-5a1b-4e6b-9f9d-115f827da972,4013813319,en,Entry Level,5500000.0,6500000.0
1114,Internship,Less than 1 year,Data & Analytics,2.0,Boleh Belajar,"Bandung, Java, Indonesia",Education,Researcher Internship,"Having experience in project management, ability to research, analyze, report and present the research results
Have a good interpersonal skillsLearning process (and acknowledging one’s learning process) is essential in our team.
We value people with high curiosity and intellectual humility, we believe these are important virtues to make an improvement.
We appreciate not only great and fresh ideas but also how to turn them into real-world applications.
Good decision maker, Creative, Committed, Trustful, Perseverant and Persistent.
Have experience in editing and public relation is a plus.", 1000000 – 2000000,"Research, Product Research, Market Research  Analysis, Program Management, Creative Direction, Public Relations, Digital Marketing",2022-04-08,https://www.techinasia.com/jobs/b27b657d-8746-4cbb-ac50-98cd044bd408,4013813319,en,Entry Level,1000000.0,2000000.0
1115,Contract,Less than 1 year,Human Resources,1.0,Hangry,"Jakarta, Indonesia",Hospitality,General Affairs Staff,"Arranging logistics and preparing administrative arrangements for training and other activities (flights, hotels, meeting rooms, transportation, housing, and related arrangements)
Maintaining a proper filing system and ensuring that all staff have easy access to it (office Asset such as laptops)
 Maintaining the office by ensuring office working systems are all operating properly (printers, scanner, photocopier, internet connection, telephone, etc.) and dealing with issues as they arise in a timely manner
Taking care of facility management and maintenance, office supplies, relation to service providers, business and personal contacts, potential vendors and relations, and cleaning and housekeeping services
 Procurement and inventory control of office stationery and pantry supplies", 0 – 0,"Human Resources, Attention to Detail, Communication Skills, Data Management",2022-04-08,https://www.techinasia.com/jobs/2fc6c707-f927-42b9-b3fa-ff67a0268ae5,4581603427,en,Entry Level,0.0,0.0
1116,Full-time,Less than 1 year,Hardware & Embedded Systems,1.0,Pasifik Satelit Nusantara,"Cikarang, Indonesia",Others,Network Monitoring Center - Cikarang,"M/F, 20-28 years old
Ready to traveling to a remote area
A minimum Diploma or Bachelor's degree in Informatics or Telecommunications (or related). Can be a fresh graduate with GPA min 2.75 on a scale of 4.00
Have a knowledge about VSAT IP and IP Network
Can work under pressure
Good written and oral skill in English
Shifting", 5000000 – 6000000,"Networking, English Language, Telecommunications",2022-04-08,https://www.techinasia.com/jobs/82373203-7c6a-4cb3-9d17-9ad03037363e,4442689377,en,Entry Level,5000000.0,6000000.0
1117,Full-time,Less than 1 year,Sales & Business Development,1.0,PT Bimasakti Multi Sinergi,"Sidoarjo, Indonesia",Marketplaces,Corporate & Banking Partnership,"Manage end-to-end partnership cycle, from negotiation, creation of contracts, go-to-market strategy, making sure that deliverables are on point
Build strong relationship with partner Banks
Update partner Banks with performance reviews and propose new campaigns", 6000000 – 7000000,"Sales  Marketing, Business Development  Partnerships, Business Development, Marketing Communications, Communication Skills, Marketing Strategy, Business Analysis",2022-04-08,https://www.techinasia.com/jobs/d612e7fd-d5c7-4a43-91c5-edaadbf7a639,5783766218,en,Entry Level,6000000.0,7000000.0
1118,Full-time,Less than 1 year,Human Resources,1.0,BFI Finance Tbk,"Tangerang, Indonesia",Marketplaces,Talent Acquisition Intern,"Strong analytical and planning skills
Familiar in end-to-end recruitment with a proven track record.
Have good communication skill.
Data driven with high administrative skill and attention to detail.
Proficient in Microsoft Excel.
Willing to be placed at BSD, Tangerang Selatan", 1,"Talent Acquisition, Sourcing, Microsoft Excel",2022-04-08,https://www.techinasia.com/jobs/73d59093-85cd-4e22-90f1-de3e91f1d3f7,9128908857,en,Entry Level,1.0,
1119,Internship,Less than 1 year,Marketing & PR,1.0,SIRCLO,"Tangerang, Indonesia",Marketplaces,Digital Marketing Intern,"Proactively work as part of the team.
Help to create and plan a variety of pay-per-click (PPC) campaigns across digital channels.
Analyse trends and making data-driven decisions accordingly.
Proofread, share ideas, and write engaging copies for advertisement purposes.
Collaborate directly with the Graphic Design team to create engaging materials.", 0 – 0,"Marketing Strategy, Digital Marketing, Communication Skills",2022-04-08,https://www.techinasia.com/jobs/537d4ebd-f8cc-4800-8b0c-7a856fa57c67,8589791531,en,Entry Level,0.0,0.0
1120,Full-time,Less than 1 year,Project & Product Management,1.0,Kompas Gramedia,"Jakarta, Indonesia",Technology,Associate Product Manager - CITIS,No Description, 0 – 0,"Project Management, Communication Skills, Python, MySQL, Product Management, Business Analysis",2022-04-07,https://www.techinasia.com/jobs/0696aedb-2aab-407e-bac6-e5239d987550,7014298732,en,Entry Level,0.0,0.0
1121,Full-time,Less than 1 year,Sales & Business Development,1.0,Somethinc - Beautyhaul,"Medan, Sumatra, Indonesia",Marketplaces,Management Trainee - Sales Leadership Development Program,"Fast-track career progression
Accelerated learning environment
Attractive remuneration package
On the job training", 0 – 0,"Sales  Marketing, Sales Strategy  Management, Sales Support, Sales",2022-04-07,https://www.techinasia.com/jobs/6a092deb-2a89-437d-bbe9-c689f1319736,6460382483,en,Entry Level,0.0,0.0
1122,Internship,Less than 1 year,Marketing & PR,1.0,AVANA,"Jakarta, Indonesia",Marketplaces,Community Specialist Intern,"Daily engagement by sharing AVANA tools and topics around business and marketing to AVANA Internal Community (WAG. FB, IG etc.)
Maintain relationship with our member - administration that relate with community activities
Create online and offline activation for the purpose of member engagement
Monitoring and maintaining member on forum and chat platform
Contribute creative ideas and work plan to increase the numbers of members/ unique visitors
Presenting the plan and reporting the progress/task to  marketing", 1000000,"Sales  Marketing, Community Management, Communication Skills, Communications, Marketing Communications",2022-04-07,https://www.techinasia.com/jobs/7c88b24a-3314-485c-a36c-d25d1098c354,98087570,en,Entry Level,1000000.0,
1123,Internship,Less than 1 year,Executive & Management,1.0,Mekari (PT. Mid Solusi Nusantara),"Jakarta, Indonesia",Technology,Internship Program: Business Operations Intern,No Description, 2000000 – 3000000,"Business Operations, Business Strategy, CRM, Operations",2022-04-07,https://www.techinasia.com/jobs/14adb3b0-ef82-4b8b-bf13-69cea0d9e2e1,2196717593,en,Entry Level,2000000.0,3000000.0
1124,Full-time,Less than 1 year,Web Development,3.0,PlayGame Pte Ltd,"Indonesia Bulk Terminal, Indonesia",Technology,Product Owner,"Create High-quality software releases by leveraging engineering talent
Ensure the engineering deliverables snap together well and fully implement the milestone
Imagine how users will interact with a product and develop robust use cases", 500000 – 1000000,"Business Analysis, Business Development, Product Management",2022-04-07,https://www.techinasia.com/jobs/d7ac089f-2ef0-4fe3-90f6-7e0d6842961f,4910173800,en,Entry Level,500000.0,1000000.0
1125,Internship,Less than 1 year,Event Management,1.0,Evermos,"Jakarta, Indonesia",Marketplaces,Product Marketing Internship,No Description, 1000000 – 2000000,"Business Development, Project Management, Marketing Communications, Marketing",2022-04-07,https://www.techinasia.com/jobs/cec6f4d9-3dbf-4918-a1f4-7281ec19993f,3023939827,en,Entry Level,1000000.0,2000000.0
1126,Full-time,Less than 1 year,Data & Analytics,5.0,Deliveree Indonesia,"Jakarta, Indonesia",Logistics,Fresh Graduate Business Data Technical Analyst,"Position: Business Data Technical Analyst for Fresh Graduates
Location: Kemang, South Jakarta
Status: Full-time career position
Benefits: Full benefits including private healthcare", 5250000 – 6000000,"Databases, Relational Databases, Data Visualization, Analytics, Analytics  Reporting, Business Analysis, Data Management, Business Intelligence, Data Analysis, Data Mining",2022-04-07,https://www.techinasia.com/jobs/5f162d85-d0fa-480a-9e20-e07471fa14c1,3152677149,en,Entry Level,5250000.0,6000000.0
1127,Full-time,Less than 1 year,Community Management,5.0,Deliveree Indonesia,"Jakarta, Indonesia",Logistics,Fresh Graduate IT Specialist,"Company: Deliveree, a logistics technology startup company
Position: IT Specialist
Location: Kemang, South Jakarta
Compensation: Rp 6 million", 5250000 – 6000000,"Community Management, Communication Skills, Information Technology",2022-04-07,https://www.techinasia.com/jobs/aa50d2b4-6d29-405f-8971-f1185c94b03e,3152677149,en,Entry Level,5250000.0,6000000.0
1128,Full-time,Less than 1 year,Web Development,5.0,PT. Rekruter Digital Indonesia,"Bandung, Java, Indonesia",Human Resources,Java Developer (Spring Boot),"Bachelor's or higher degree in Information Systems, Computer Science or related fields
Min. 6 months experience as a back-end developer (either internship or full-time)
Passionate about coding and programming, innovation, and solving challenging problems
In-depth understanding of computer science fundamentals (data structures and algorithms, operating systems, networks, databases, etc)
Strong and hands-on experience with Java programming languages
Familiar or having experience using Spring Boot Framework
Hands-on experiences and knowledge on relational databases such as MySQL
Strong logical thinking abilities
Willing to be placed in Bandung", 4000000 – 6000000,"Backend Development, Databases, Java",2022-04-07,https://www.techinasia.com/jobs/ff831bf5-9ef1-4274-bb95-583cfcbae53a,4349451628,en,Entry Level,4000000.0,6000000.0
1129,Internship,Less than 1 year,Marketing & PR,1.0,SIRCLO,"Tangerang, Indonesia",Marketplaces,Content Creator/Librarian Intern,"Ability to turn knowledge/information into compelling contents through various mediums.
Passionate in reading and curating various resources (books, articles, videos, etc).
Strong communication skills especially in written English and Bahasa.
Eager to learn about building company culture & employer branding.
Independent learner who is proactive.
Have sharp eyes for details, self-discipline, and a can-do-attitude.
Able to work effectively in a remote setting (WFH).
Available to start working immediately 
Able to commit 3 months or more on a full-time basis", 0 – 0,"Attention to Detail, Writing, Copywriting, Analytical Skills, Communication Skills, Content Creation",2022-04-06,https://www.techinasia.com/jobs/17f354d3-9490-49ec-aead-77065c7eebd5,8589791531,en,Entry Level,0.0,0.0
1130,Internship,Less than 1 year,Graphic & Motion Design,2.0,SIRCLO,"Tangerang, Indonesia",Marketplaces,Graphic Design Intern (People Operations Team),No Description, 0 – 0,"Adobe Illustrator, Adobe Creative Suite, Adobe Photoshop",2022-04-06,https://www.techinasia.com/jobs/209cbecc-4e55-458a-9c47-4050a68de8f4,8589791531,en,Entry Level,0.0,0.0
1131,Internship,Less than 1 year,Sales & Business Development,2.0,Bintango,"Jakarta, Indonesia",Digital Media & Marketing,Talent Coordinator Intern (KOL Specialist),No Description, 1000000 – 1800000,"Business Development  Partnerships, Business Development, Sales  Marketing",2022-04-06,https://www.techinasia.com/jobs/5c06ab58-009f-4c88-868b-11c23056aeb7,1857389881,en,Entry Level,1000000.0,1800000.0
1132,Internship,Less than 1 year,Marketing & PR,1.0,Evermos,"Bandung, Java, Indonesia",Marketplaces,Brand Marketing Internship,"Increase local awareness and mindshare of the brand through offline presence, campaigns, and events as a media to execute activation programs
Initiate derivative action plans based on an initiated grand marketing plan to be fitted with local/ regional/ city's characteristics and potentials to ensure maximized presence and enhancing offline engagement that leads to conversion
Assist alongside the team to build Evermos brand equity to be top-of-mind in the socio-commerce
Assist in developing marketing strategy and map out the tasks needed to implement that strategy
Maintain an up-to-date understanding of Evermos products, market developments, consumer insights as well as competitor strategies to implement design creation effective marketing campaigns
Assist Performance research, analysis, and present findings as required", 0 – 0,"Sales  Marketing, Marketing Strategy, Sales Strategy  Management, Marketing",2022-04-06,https://www.techinasia.com/jobs/7ebb7eb1-1306-4b33-87e3-4412713222c0,3023939827,en,Entry Level,0.0,0.0
1134,Internship,Less than 1 year,Logistics & Operations,1.0,Hangry,"Jakarta, Indonesia",Hospitality,PPIC Intern,"Support make a production schedule
Support guarantee the availability of goods
Preparation and analysis of inventory control
Other responsibilities as needed", 0 – 0,"Logistics, Data Management, Supply Chain Management",2022-04-06,https://www.techinasia.com/jobs/898c55f8-ae43-487d-b1e8-862f84e1cdf6,4581603427,en,Entry Level,0.0,0.0
1136,Internship,Less than 1 year,Graphic & Motion Design,1.0,Bintango,"Jakarta, Indonesia",Digital Media & Marketing,Video Editor Intern,No Description, 1000000 – 2000000,"Video Creation, Experience Design, Graphic Design, Video Production, Video Editing, Design Strategy, Design Thinking",2022-04-06,https://www.techinasia.com/jobs/6fa3f32c-8d64-4666-8878-2e04acab0c5c,1857389881,en,Entry Level,1000000.0,2000000.0
1137,Full-time,Less than 1 year,QA & Testing,1.0,DANA Indonesia,"Jakarta, Indonesia",Technology,Backend QA Engineer,No Description, 0 – 0,"REST APIs, Java, Spring, Test Automation",2022-04-06,https://www.techinasia.com/jobs/dac0e94f-d51c-42f9-8e20-88ade98961af,6180409841,en,Entry Level,0.0,0.0
1138,Freelance,Less than 1 year,Human Resources,1.0,SIRCLO,"Tangerang, Indonesia",Marketplaces,Talent Acquisition Freelance,"Someone who are eager to learn about sourcing and talent scouting and match them with the right opportunity
Strong interviewing skill
Excellent interpersonal skill and able to communicate effectively with a diverse range of people
Fluent in operating Microsoft Office tools especially Excel
Independent learner who is proactive and have initiatives to learn and grow
Have sharp eyes for details, strong curiosity, self-discipline, and a can-do attitude.
Able to work effectively in a remote setting (WFH).
Available to start working immediately.
Able to commit 3 months or more on a full-time basis", 0 – 0,"Recruiting, Microsoft Excel, Communication Skills",2022-04-06,https://www.techinasia.com/jobs/f58ab5c6-dec0-4536-8690-902cb198cffd,8589791531,en,Entry Level,0.0,0.0
1139,Full-time,Less than 1 year,Sales & Business Development,1.0,PT Formasi Agung Selaras (Famous Allstars),"Jakarta, Indonesia",Technology,Freelance KOL Planner,No Description, 2000000 – 2200000,"Presentation Skills, Digital Marketing, Sales  Marketing",2022-04-06,https://www.techinasia.com/jobs/60e45218-b712-45cf-9229-f99b6231eec3,8218276257,en,Entry Level,2000000.0,2200000.0
1140,Full-time,Less than 1 year,Logistics & Operations,1.0,Aruna,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",Local Heroes,"Assisting and supporting the project manager to build a new Mini plant.
Documentation and reporting of Miniplan's project.
Recommend and execute corrective actions to handle project compliance.
Monitoring adherence of project timeline with the decided schedule plan.
Conduct mapping and supply chain organization at the Mini Plant.
Seek and approach fishermen / suppliers to cooperate with Aruna.
Do transactions with fishermen as well as the whole financial report of each Mini Plant.
Coordinate with fishermen, helpers and pickers to get supplies of product that meet the quality, volume and continuity specifications.
Implement IT system / platform technology in the field.", 0 – 0,"Business Operations, Communication Skills, Communications, Negotiation, Operations",2022-04-05,https://www.techinasia.com/jobs/d2e453a8-327c-45ef-b7a0-a901308411cc,8340376782,en,Entry Level,0.0,0.0
1141,Full-time,Less than 1 year,Customer Service,2.0,Bobobox Indonesia,"Bandung, Java, Indonesia",Hospitality,Customer Relationship Management Associate,"💻 IoT powered sleeping lifestyle company, first of its kind in Indonesia
♻️ Tired of blitzscaling? We're aiming for sustainability instead
🎭 Culture is important. We don't want high-performer with a poor attitude", 0 – 0,"Communication Skills, Problem Solving, Customer Service",2022-04-05,https://www.techinasia.com/jobs/b3cde9e6-3119-4c17-bb1e-6882eb18a902,9247103402,en,Entry Level,0.0,0.0
1142,Full-time,Less than 1 year,Media & Journalism,1.0,Deliveree Indonesia,"Jakarta, Indonesia",Logistics,"Fresh Graduate Content Writer, Blogger, Copywriter","Undergraduate GPA 3.2 or higher from any major (required to apply)
Fresh graduates or candidates with 1-2 years of experience are welcome to apply
Good English skills (TOEFL 550 or higher)
Good communication skills: speaking, writing
Willing to work hard to advance career
Self-motivated, independent , hard working
Strong attention to detail and accuracy
Strong writing skills in Bahasa & English", 5250000 – 6000000,"Media Relations, Technical Writing, Writing, Market Research  Analysis, Journalism, Copywriting  Editing, Creative Writing, Media, Copywriting, Social Media, Blogging, Research, Market Research, Digital Media",2022-04-05,https://www.techinasia.com/jobs/99a0e257-0d9b-4eb9-9c34-5a82f3bf073c,3152677149,en,Entry Level,5250000.0,6000000.0
1143,Full-time,Less than 1 year,Web Development,1.0,MC Payment Indonesia,"Jakarta, Indonesia",Technology,Full Stack Developer,"Build scalable and robust APIs and system
Build reusable code and libraries for future use
Deliver innovative solutions to drive next-generation user experiences, designs and technologie
Optimize code and application for maximum speed and scalability
Ensure stability and performance of the system (maintenance)
Implement security and data protection
Identify and fix bottlenecks and bugs on our system
Collaborate with teams and other tribe to improve usability and responsible on visual elements that our user can interact with", 8000000 – 14000000,"React.js, UI/UX Design, Git, Javascript, Laravel, PHP, HTML5  CSS3, jQuery, REST APIs, Vue.js, Node.js, CodeIgniter",2022-04-05,https://www.techinasia.com/jobs/21eba6eb-f90e-4086-a25c-367ead7307d3,5006586482,en,Entry Level,8000000.0,14000000.0
1144,Contract,Less than 1 year,"Finance, Legal & Accounting",1.0,MC Payment Indonesia,"Jakarta, Indonesia",Technology,Finance & Accounting Staff,"Bachelor’s degree in Finance,Accounting.
Have 1-2 years of experience. Fresh graduates are welcome
Understand Accounting Journal
Have Operated an Accounting System
Have a desire to study and be thorough
Having good communications and team work skills
Excellent in analytical thinking, creative, detail oriented and well organized
Required skill(s): Microsoft Office (word, excel)
Understanding taxes is a plus.", 4500000 – 6000000,"Accounting, Communication Skills, Teamwork",2022-04-05,https://www.techinasia.com/jobs/c4112266-e49d-4c9f-bb3d-b05628a42067,5006586482,en,Entry Level,4500000.0,6000000.0
1145,Contract,Less than 1 year,Marketing & PR,1.0,MC Payment Indonesia,"Jakarta, Indonesia",Technology,Client Relationship Officer,"As a Client Relationship Officer, you are one of the key growth of our business
You shall work more as a consultant than a salesperson to our existing or prospective clients by building relationships and giving the best solution to their business needs.", 5000000 – 6000000,"Marketing, Marketing Communications, Communication Skills",2022-04-05,https://www.techinasia.com/jobs/c0c9e9a7-2e43-4abe-8893-0126e2330727,5006586482,en,Entry Level,5000000.0,6000000.0
1146,Full-time,Less than 1 year,Customer Service,5.0,MyRobin,"Yogyakarta, Indonesia",Human Resources,Agent Livechat & ticketing,"Complaint handling & Responding promptly to customer inquiries
provide assist & solution to customer need
Delivering product & services information
Ensure customer satisfaction and provide professional customer support", 2500000 – 3000000,"Customer Service, Customer Experience, Salesforce, Communication Skills",2022-04-05,https://www.techinasia.com/jobs/05dca412-246e-4c1c-87f5-1775f13cede1,1350499120,en,Entry Level,2500000.0,3000000.0
1147,Contract,Less than 1 year,Human Resources,1.0,Moladin Digital Indonesia,"Jakarta, Indonesia",Automotive & Transportation,Admin People and Culture,"Assisting the administrative process for the Employer Branding and Culture Team
Improve employee experience process, not limited to meetings, on-boarding and off-boarding. 
Enhance Moladian wellbeing and morale via engagement activities and events.
Collaborate and work closely with the HR team, Communication team, Marketing team, and cross-function to support the implementation of branding activities.", 0 – 0,"Databases, Management, Event Management, Data Entry, Human Resources, Content Management, Communication Skills",2022-04-05,https://www.techinasia.com/jobs/a5b3da8e-b456-42a4-8646-4341daba32a6,7032698916,en,Entry Level,0.0,0.0
1148,Full-time,Less than 1 year,Web Development,1.0,Pasifik Satelit Nusantara,"Jakarta, Indonesia",Others,FrontEnd Developer,No Description, 5500000 – 7000000,"Javascript, HTML5  CSS3, jQuery, Angular, Node.js",2022-04-05,https://www.techinasia.com/jobs/5ff95328-c9c2-49ff-ae34-78e9aea06ce0,4442689377,en,Entry Level,5500000.0,7000000.0
1149,Full-time,Less than 1 year,Web Development,1.0,Pasifik Satelit Nusantara,"Jakarta, Indonesia",Others,Fullstack Developer,JOB DESCRIPTION, 6000000 – 7000000,"React.js, Javascript, PHP, SVN, CSS, HTML5  CSS3, jQuery, REST APIs, Oracle, Angular, Node.js, Bootstrap",2022-04-05,https://www.techinasia.com/jobs/0743dce1-0be3-48f8-8f72-9d9a72ab1914,4442689377,de,Entry Level,6000000.0,7000000.0
1150,Internship,Less than 1 year,Project & Product Management,1.0,Mekari (PT. Mid Solusi Nusantara),"Jakarta, Indonesia",Technology,Internship Program: Product Learning Intern,"Conduct extensive research to discover certification references to develop a high-quality learning content
Improve any kind of educational materials such as modules, guidebooks, etc. for university
Work with product trainer and multimedia designer to present the best quality of educational courses", 2000000 – 3000000,"Research, Product Research, Market Research  Analysis, Market Research, Accounting, Content Strategy, Content Management",2022-04-04,https://www.techinasia.com/jobs/889f0b9a-48d2-4b83-accc-b1174dc409b4,2196717593,en,Entry Level,2000000.0,3000000.0
1151,Internship,Less than 1 year,Marketing & PR,1.0,Mekari (PT. Mid Solusi Nusantara),"Jakarta, Indonesia",Technology,Internship Program: Copywriter Intern,"Collaborate with the marketing team to optimize conversion by applying an effective copywriting strategy
Develop inspiring, persuasive, and convincing original copy and edit content for a wide array of writing needs, such as websites, search ads, digital campaigns, sales kits, and more
Research and understand the client's needs and target audiences, through online searches, reviews of existing research, interviews with subject matter experts, and in-person meetings
Actively involved in key marketing initiatives from ideation to production", 2000000 – 3000000,"Marketing, Content Marketing, Copywriting, Copywriting  Editing, Writing",2022-04-04,https://www.techinasia.com/jobs/e907250b-8734-48de-8713-2a8373ca3960,2196717593,en,Entry Level,2000000.0,3000000.0
